Order_ID,Order_Date,Ship_Date,Customer_ID,Segment,Country,City,Category,Sub_Category,Product_Name,Sales,Quantity,Discount,Profit,Shipping_Cost
ORD-10000,2024-10-16,2024-10-18,CID-1000,Consumer,Canada,Vancouver,Technology,Laptops,Dell XPS 15,1500,1,0,296.43,5.48
ORD-10000,2024-10-16,2024-10-18,CID-1000,Consumer,Canada,Vancouver,Technology,Accessories,27in 4K Monitor,300,1,0,57.09,15.74
ORD-10000,2024-10-16,2024-10-18,CID-1000,Consumer,Canada,Vancouver,Technology,Accessories,Wireless Mouse,100,2,0,16.23,9.17
ORD-10001,2023-01-07,2023-01-10,CID-1001,Home Office,United Kingdom,Manchester,Furniture,Chairs,Gaming Chair,500,2,0,36.59,6.45
ORD-10001,2023-01-07,2023-01-10,CID-1001,Home Office,United Kingdom,Manchester,Technology,Accessories,Mechanical Keyboard,360,3,0.1,81.58,15.95
ORD-10001,2023-01-07,2023-01-10,CID-1001,Home Office,United Kingdom,Manchester,Technology,Accessories,Gaming Headset,180,2,0,33.84,17.44
ORD-10002,2024-09-25,2024-10-01,CID-1002,Home Office,United States,New York,Technology,Laptops,Dell XPS 15,3000,2,0,791.49,18.0
ORD-10002,2024-09-25,2024-10-01,CID-1002,Home Office,United States,New York,Technology,Accessories,27in 4K Monitor,600,2,0.1,48.96,10.33
ORD-10002,2024-09-25,2024-10-01,CID-1002,Home Office,United States,New York,Technology,Accessories,Wireless Mouse,150,3,0,30.34,7.57
ORD-10003,2023-09-08,2023-09-11,CID-1003,Corporate,United Kingdom,Manchester,Furniture,Tables,Standing Desk,1200,3,0,265.38,17.64
ORD-10004,2023-02-27,2023-03-03,CID-1004,Consumer,United Kingdom,Manchester,Furniture,Chairs,Gaming Chair,750,3,0.1,69.63,12.49
ORD-10004,2023-02-27,2023-03-03,CID-1004,Consumer,United Kingdom,Manchester,Technology,Accessories,Mechanical Keyboard,360,3,0.2,24.69,7.09
ORD-10004,2023-02-27,2023-03-03,CID-1004,Consumer,United Kingdom,Manchester,Technology,Accessories,Gaming Headset,270,3,0.1,57.53,11.43
ORD-10005,2024-08-20,2024-08-27,CID-1005,Corporate,United States,New York,Office Supplies,Paper,Copy Paper A4,15,1,0,1.32,7.4
ORD-10005,2024-08-20,2024-08-27,CID-1005,Corporate,United States,New York,Office Supplies,Art Supplies,Ballpoint Pens,24,3,0,3.51,13.94
ORD-10005,2024-08-20,2024-08-27,CID-1005,Corporate,United States,New York,Office Supplies,Binders,3-Ring Binder,24,2,0,5.28,6.72
ORD-10006,2024-07-03,2024-07-08,CID-1006,Home Office,United Kingdom,London,Furniture,Chairs,Gaming Chair,250,1,0.1,65.92,16.43
ORD-10006,2024-07-03,2024-07-08,CID-1006,Home Office,United Kingdom,London,Technology,Accessories,Mechanical Keyboard,120,1,0.1,28.13,12.61
ORD-10006,2024-07-03,2024-07-08,CID-1006,Home Office,United Kingdom,London,Technology,Accessories,Gaming Headset,180,2,0,33.27,16.68
ORD-10007,2024-06-27,2024-06-28,CID-1007,Home Office,United Kingdom,Manchester,Technology,Accessories,27in 4K Monitor,600,2,0,38.69,18.17
ORD-10008,2023-03-29,2023-04-06,CID-1008,Consumer,Canada,Toronto,Technology,Laptops,Dell XPS 15,4500,3,0,523.19,18.09
ORD-10008,2023-03-29,2023-04-06,CID-1008,Consumer,Canada,Toronto,Technology,Accessories,27in 4K Monitor,300,1,0,68.47,10.98
ORD-10008,2023-03-29,2023-04-06,CID-1008,Consumer,Canada,Toronto,Technology,Accessories,Wireless Mouse,100,2,0.2,21.99,11.77
ORD-10009,2023-09-11,2023-09-15,CID-1009,Consumer,United Kingdom,London,Office Supplies,Paper,Copy Paper A4,15,1,0,1.02,14.47
ORD-10009,2023-09-11,2023-09-15,CID-1009,Consumer,United Kingdom,London,Office Supplies,Art Supplies,Ballpoint Pens,8,1,0.1,0.49,8.57
ORD-10009,2023-09-11,2023-09-15,CID-1009,Consumer,United Kingdom,London,Office Supplies,Binders,3-Ring Binder,12,1,0,2.77,18.24
ORD-10010,2024-08-13,2024-08-21,CID-1010,Consumer,United Kingdom,Manchester,Technology,Laptops,Dell XPS 15,3000,2,0.1,420.92,12.01
ORD-10010,2024-08-13,2024-08-21,CID-1010,Consumer,United Kingdom,Manchester,Technology,Accessories,27in 4K Monitor,900,3,0,58.64,15.92
ORD-10010,2024-08-13,2024-08-21,CID-1010,Consumer,United Kingdom,Manchester,Technology,Accessories,Wireless Mouse,50,1,0,4.89,13.04
ORD-10011,2023-05-24,2023-05-31,CID-1011,Consumer,United Kingdom,Manchester,Technology,Accessories,27in 4K Monitor,900,3,0,56.38,19.99
ORD-10011,2023-05-24,2023-05-31,CID-1011,Consumer,United Kingdom,Manchester,Technology,Accessories,Wireless Mouse,50,1,0,4.58,12.28
ORD-10012,2023-08-07,2023-08-14,CID-1012,Consumer,United States,Los Angeles,Technology,Laptops,Dell XPS 15,3000,2,0.1,420.53,19.36
ORD-10012,2023-08-07,2023-08-14,CID-1012,Consumer,United States,Los Angeles,Technology,Accessories,Wireless Mouse,150,3,0.2,10.64,9.45
ORD-10013,2023-03-01,2023-03-11,CID-1013,Home Office,Canada,Toronto,Technology,Phones,iPhone 15,3000,3,0.2,421.71,17.79
ORD-10014,2023-06-11,2023-06-12,CID-1014,Home Office,United States,New York,Technology,Laptops,Dell XPS 15,1500,1,0.2,95.97,18.35
ORD-10014,2023-06-11,2023-06-12,CID-1014,Home Office,United States,New York,Technology,Accessories,27in 4K Monitor,900,3,0,184.36,11.29
ORD-10014,2023-06-11,2023-06-12,CID-1014,Home Office,United States,New York,Technology,Accessories,Wireless Mouse,150,3,0.1,38.3,8.06
ORD-10015,2023-11-18,2023-11-22,CID-1015,Corporate,United Kingdom,London,Office Supplies,Paper,Copy Paper A4,30,2,0,1.57,14.32
ORD-10015,2023-11-18,2023-11-22,CID-1015,Corporate,United Kingdom,London,Office Supplies,Art Supplies,Ballpoint Pens,8,1,0,1.48,12.59
ORD-10015,2023-11-18,2023-11-22,CID-1015,Corporate,United Kingdom,London,Office Supplies,Binders,3-Ring Binder,24,2,0,6.48,10.54
ORD-10016,2023-06-11,2023-06-19,CID-1016,Home Office,Canada,Vancouver,Office Supplies,Art Supplies,Ballpoint Pens,8,1,0.1,2.04,6.55
ORD-10016,2023-06-11,2023-06-19,CID-1016,Home Office,Canada,Vancouver,Office Supplies,Binders,3-Ring Binder,24,2,0,6.54,16.14
ORD-10017,2023-06-09,2023-06-14,CID-1017,Corporate,Canada,Toronto,Technology,Phones,iPhone 15,3000,3,0.1,476.15,8.77
ORD-10018,2023-02-22,2023-02-24,CID-1018,Home Office,United Kingdom,Manchester,Technology,Laptops,Dell XPS 15,1500,1,0.1,122.03,11.63
ORD-10018,2023-02-22,2023-02-24,CID-1018,Home Office,United Kingdom,Manchester,Technology,Accessories,27in 4K Monitor,900,3,0,70.17,19.18
ORD-10018,2023-02-22,2023-02-24,CID-1018,Home Office,United Kingdom,Manchester,Technology,Accessories,Wireless Mouse,50,1,0,12.93,13.74
ORD-10019,2023-06-01,2023-06-08,CID-1019,Consumer,United States,Los Angeles,Technology,Accessories,Gaming Headset,180,2,0,39.69,15.0
ORD-10020,2023-12-29,2024-01-07,CID-1020,Corporate,Canada,Toronto,Furniture,Tables,Standing Desk,400,1,0,108.14,5.37
ORD-10021,2023-12-07,2023-12-14,CID-1021,Home Office,Canada,Toronto,Furniture,Chairs,Gaming Chair,250,1,0.2,53.61,17.88
ORD-10021,2023-12-07,2023-12-14,CID-1021,Home Office,Canada,Toronto,Technology,Accessories,Mechanical Keyboard,240,2,0.1,27.28,16.93
ORD-10021,2023-12-07,2023-12-14,CID-1021,Home Office,Canada,Toronto,Technology,Accessories,Gaming Headset,90,1,0,13.47,9.18
ORD-10022,2023-03-13,2023-03-18,CID-1022,Corporate,Canada,Vancouver,Office Supplies,Paper,Copy Paper A4,30,2,0,2.37,19.56
ORD-10022,2023-03-13,2023-03-18,CID-1022,Corporate,Canada,Vancouver,Office Supplies,Art Supplies,Ballpoint Pens,16,2,0,1.23,11.52
ORD-10022,2023-03-13,2023-03-18,CID-1022,Corporate,Canada,Vancouver,Office Supplies,Binders,3-Ring Binder,24,2,0.2,3.87,12.67
ORD-10023,2024-01-30,2024-02-09,CID-1023,Consumer,United Kingdom,London,Technology,Phones,iPhone 15,3000,3,0,423.17,6.05
ORD-10024,2024-11-11,2024-11-17,CID-1024,Home Office,United Kingdom,London,Technology,Phones,iPhone 15,2000,2,0.2,210.47,15.46
ORD-10025,2024-07-21,2024-07-24,CID-1025,Consumer,United Kingdom,Manchester,Office Supplies,Art Supplies,Ballpoint Pens,16,2,0.2,2.39,5.01
ORD-10025,2024-07-21,2024-07-24,CID-1025,Consumer,United Kingdom,Manchester,Office Supplies,Binders,3-Ring Binder,24,2,0.1,3.59,11.63
ORD-10026,2023-08-07,2023-08-16,CID-1026,Corporate,Canada,Toronto,Office Supplies,Paper,Copy Paper A4,45,3,0.1,2.97,19.28
ORD-10026,2023-08-07,2023-08-16,CID-1026,Corporate,Canada,Toronto,Office Supplies,Art Supplies,Ballpoint Pens,16,2,0,4.03,7.21
ORD-10026,2023-08-07,2023-08-16,CID-1026,Corporate,Canada,Toronto,Office Supplies,Binders,3-Ring Binder,24,2,0,3.93,18.29
