Date,Product,Category,Region,Units_Sold,Unit_Price,Revenue,Customer_ID,Customer_Age,Customer_Gender,Return_Flag
2023-10-22,Dress,Apparel,North,15,385.52,5782.8,CUST-1667,54,Male,0
2023-04-29,Fitness Band,Sports,West,2,275.9,551.8,CUST-1485,62,Male,0
2024-12-29,Sunscreen,Beauty,East,2,382.74,765.48,CUST-1279,46,Other,0
2024-07-03,Hoodie,Apparel,North,5,220.21,1101.05,CUST-1464,18,Other,0
2024-10-24,Jeans,Apparel,East,2,,562.38,CUST-1395,36,Female,0
2024-10-02,bASKETBALL,sPORTS,wEST,2,72.07,144.14,CUST-1006,,Female,0
2023-04-20,lIPSTICK,bEAUTY,eAST,5,304.39,1521.95,CUST-1734,39,Male,0
2024-04-06,Running Shoes,Sports,West,1,267.53,267.53,CUST-1049,53,Female,0
2024-04-29,Basketball,Sports,North,2,331.2,662.4,CUST-1362,45,Female,0
2023-09-19,Smartwatch,Electronics,West,12,469.06,5628.72,CUST-1040,27,Female,0
2024-11-16,Running Shoes,Sports,North,13,258.29,3357.77,CUST-1740,64,Male,1
2024-05-23,Fan,Home,East,4,6.36,25.44,CUST-1687,23,Male,0
2023-11-25,Smartphone,Electronics,East,11,151.34,1664.74,CUST-1456,56,Other,0
2023-01-27,vACUUM,hOME,eAST,2,239.42,478.84,CUST-1118,37,Female,0
2023-03-22,Face Wash,Beauty,Central,11,124.21,1366.31,CUST-1934,55,Male,0
2023-08-01,Tennis Racket,Sports,West,5,426.98,2134.9,CUST-1092,28,Other,0
2024-12-20,Hoodie,Apparel,East,1,94.8,94.8,CUST-1146,54,Other,0
2023-05-21,Dumbbell Set,Sports,Central,12,310.76,3729.12,CUST-1289,25,Male,0
2023-12-12,Scarf,Apparel,West,8,88.28,706.24,CUST-1814,40,Male,0
2023-07-26,Tablet,Electronics,North,6,467.02,2802.12,CUST-1527,43,Other,0
2024-10-06,Face Wash,Beauty,South,14,341.96,4787.44,CUST-1032,54,Other,0
2024-12-22,Desk Lamp,Home,East,14,234.79,3287.06,CUST-1406,58,Male,0
2023-06-02,Tablet,Electronics,East,8,208.94,1671.52,CUST-1563,48,Male,0
2024-12-22,Fan,Home,East,8,177.66,1421.28,CUST-1956,68,Other,0
